INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (01)											
											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								TEL. NO
											
1	IKOLABA GRAMMAR SCHOOL	001	1702								08059426559
2	IKOLABA HIGH SCHOOL	002	1554								08137220136
3	POST OFFICE AGODI GATE	003	1233								09037312190
4	FEDERAL HOUSING, IKOLABA	004	1210								08095587175
5	BIBILARI SHOPPING COMPLEX	005	603								08164828290
6	IN FRONT OF CUSTOMS, AGODI	006	658								07037078053
7	RAILWAY CROSSING, BODIJA	007	323								08154147508
8	BASORUN/OJOO HIGH SCHOOL, ASI	008	1259								09151871313
9	BRICK HOUSE HOTEL, BODIJA	009	762								08181883580
10	METHODIST SCHOOL II, BODIJA	010	1073								07031553751
11	LATE CHIEF LEKAN SALAMI ESTATE	011	1035								09058055561
12	OWO EGBELEKE2	012	1025								
13	FRONT OF LATE ALHAJI FATAI OLUSEGUN HOUSE	013	699								08077961460
14	MT. OLIVET GRAMMAR SCHOOL	014	949								09012636464
15	ISLAMIC HIGH SCHOOL, BASORUN	015	652								09036707766
16	C & S NEW EDEN PRIMARY SCHOOL	016	749								08138305636
17	ST. PATRICK GRAMMAR SCHOOL	017	1416								
18	OSUNKAYE INU KOKO	018	1178								08157399114
19	METHODIST GRAMMAR SCHOOL, BODIJA	019	1237								07036633115
20	OLUWO‐NLA	020	1406								
21	FRONT OF LATE PELLER'S HOUSE	021	933								
22	WATER RESERVOIR	022	664								08034800471
23	AKINGBOLA MOSQUE	023	1320								
24	BISHOP ONABANJO HIGH SCHOOL	024	922								
25	SONBEAM NURSERY/PRIMARY SCHOOL	025	1297								09012065688
26	IDI‐OROGBO	026	882								
27	ASHI VILLAGE (NEAR THE STREAM)	027	722								
28	ADEGOKE LAYOUT, ASHI	028	886								
29	ARAPASOPO	029	720								
30	BASORUN GUEST HOUSE	030	1124								09075544869
31	ODO‐ELEDE	031	1053								
32	FESTOLA NURSERY/PRIMARY SCHOOL	032	870								
33	OPPOSITE OLONA MOSQUE	033	1199								07066359400
34	ARE AVENUE	034	757								
35	HALLELUYAH NURSERY/PRIMARY SCHOOL	035	477								
36	JUNCTION NUBIFAL PHARMACY	036	1082								08036206388
37	IKOLABA GRAMMAR SCHOOL II HALL	037	55								
38	IKOLABA GRAMMAR SCHOOL I SICK BAY	038	42								
39	INFRONT OF SCHOOL HALL, IKOLABA HIGH SCHOOL	039	93								
40	INFRONT OF MINI STADIUM IKOLABA HIGH SCHOOL	040	80								
41	OPPOSITE NTA COMPLEX	041	170								
42	FEDERAL HOUSING IKOLABA	042	43								
43	BASHORUN OJOO HIGH SCHOOL, ASI	043	134								
44	BASHORUN/OJOO HIGH II	044	94								
45	BRICK HOUSE HOTEL II	045	20								
46	INFRONT OF ADMISTRATIVE METHODIST SCHOOL II	046	35								
47	LATE CHIEF SALAM ESTATE	047	90								
48	OWO EGBELEKE	048	88								
49	MT. OLIVET GRAMMAR SCHOOL	049	37								
50	C & S NEW EDEN PRIMARY SCHOOL II	050	54								
51	4, OLUWO KEKERE ROAD, IBADAN	051	38								
52	ST. PATRICK GRAMMAR SCHOOL II	052	179								
53	OSUNKAYE INU KOKO	053	102								
54	INFRONT OF ADMISTRATIVE METHODIST GRAMMAR SCHOOL, BODIJA	054	71								
55	INFRONT OF POLICE STATION, OLUWO NLA	055	137								
56	BESIDE REDEEMER SCHOOL, OLUWO-NLA	056	53								
57	FRONT OF LATE PELLER'S HOUSE II	057	92								
58	OPPOSITE AKINGBOLA MOSQUE, ASHI BODIJA	058	53								
59	JUNCTION AKINGBOLA MOSQUE, ASHI BODIJA	059	109								
60	BISHOP ONABANJO HIGH SCHOOL	060	31								
61	SONBEAM NURSERY & PRIMARY SCHOOL	061	87								
62	BUS STATION, IBADAN, OPP GLORY TABERNACLE	062	14								
63	ADEGOKE LAYOUT, ASHI/BAS II	063	21								
64	INFRONT OF FLORENTINA HALL BASHORUN	064	151								
65	OPPOSITE BODIJA/ASHI BAPTIST CHURCH	065	185								
66	INFRONT OF GREAT OF MINDS COLLEGE, OLUWO-NLA	066	42								
67	OPPOSITE C.A.C. OKE-ALAFIA, BODIJA	067	43								
68	JUNCTION NUBIFAL PHARMACY	068	27								
			38101								
											
											
											
											
											
											
											
INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (06)											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								TEL. NO
											
1	HEALTH CENTRE, SABO (OLD MOTOR PARK, SABO)	001	1124								08061331987
2	IBADAN RECREATION CLUB	002	918								07038673480
3	PRIMARY SCHOOL, JEMIBEWON	003	1070								08134987215
4	OPPOSITE TEXACO ADAMASINGBA	004	924								
5	ST. GABRIEL GRAMMAR SCHOOL, MOKOLA	005	1217								07082158996
6	PALM CHEMIST ADAMASINGBA	006	1076								08059396122
7	SABO MARKET	007	1046								
8	LATE OBA SABO PALACE I	008	745								
9	LATE OBA SABO PALACE II	009	731								
10	CENTRAL MOSQUE, SABO	010	1073								7063633864
11	NEW OBA SABO PALACE	011	806								
12	OPPOSITE UNCLE JOE CHEMIST	012	715								
13	OPPOSITE SHOPPING COMPLEX, ADAMASINGBA	013	1039								
14	SCALA CINEMA, SABO I	014	542								
15	SCALA CINEMA, SABO II	015	1038								08063299036
16	BESIDE HEALTH CENTER, SABO 	016	46								
17	OPPOSITE IBADAN RECREATION CLUB	017	58								
18	I.M.G. PRIMARY SCHOOL	018	38								
19	BESIDE MR. BIGGS, MOKOLA	019	50								
20	INFRONT OF PRINCIPAL'S OFFICE	020	84								
21	ELIGANZA AREA ADAMASINGBA, SABO	021	63								
22	Y.B.A. COMPLEX	022	53								
23	WATERED GARDENS	023	25								
24	GARAS OPPOSITE CENTRAL MOSQUE, SABO	024	133								
25	OPPOSITE NEW OBA SABO PALACE	025	158								
26	OPPOSITE GATE 2 ADAMASIGBA STADIUM	026	62								
27	OPPOSITE SCALA CINEMA, SABO	027	48								
			14882								
											
											
											
											
											
											
											
											
											
INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (07)											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								TEL. NO
											
1	FAYEMI STREET, TAXACO, ORE MEJI I	001	611								
2	FAYEMI STREET, TAXACO, ORE MEJI II	002	442								
3	AJEGUNLE STREET, COCA COLA I	003	755								
4	AJEGUNLE STREET, COCA COLA II	004	581								
5	ST. LOUIS GRAMMAR SCHOOL	005	955								
6	OPPOSITE SUNNY DAY MODEL SCHOOL I	006	474								
7	OPPOSITE SUNNY DAY MODEL SCHOOL II	007	602								
8	OPPOSITE ARABIC HIGH SCHOOL I	008	732								
9	OPPOSITE ARABIC HIGH SCHOOL II	009	1060								07035569433
10	ALAWODE STREET I	010	900								
11	ALAWODE STREET II	011	598								
12	CONSTANCE MODEL SCHOOL	012	730								
13	FATODU STREET (TUNATOL)	013	748								
14	ADEOLA CRESCENT I	014	657								
15	ADEOLA CRESCENT II	015	532								
16	AMISU STREET OKE ITUNU	016	784								
17	RAILWAY CHAMBERS I	017	626								
18	RAILWAY CHAMBERS II	018	684								
19	BEHIND TEXACO	019	639								
20	C.A.C. OBADARE	020	737								
21	ESTATE OKE ITUNU	021	620								
22	IN FRONT OF ADEDIRAN MOSQUE	022	788								
23	POPOOLA CHAMBERS I	023	552								
24	POPOOLA CHAMBERS II	024	530								
25	OPEN SPACE OPPOSITE MTN MAST, AJEGUNLE	025	55								
26	OPEN SPACE, BASKET COURT, ST LOIUS GRAMMAR SCHOOL, MOKOLA	026	234								
27	OPEN SPACE OPPOSITE PUBLIC BOREHOLE	027	36								
28	OPEN SPACE OPP CHRIST APOSTOLIC CHURCH	028	29								
29	OPEN SPACE BESIDE SUNNY DAY MODEL SCHOOL	029	126								
30	TUNATOL JUNCTION	030	154								
31	OPEN SPACE OPP GBOROMIRO CHURCH AMISU OKE ITUNU	031	125								
32	OPEN SPACE CLOSE TO CAC OBADARE	032	63								
			17159								
											
											
											
											
											
											
											
INDEPENDENT NATIONAL ELECTORAL COMMISSION											
IBADAN NORTH LOCAL GOVERNMENT, IBADAN											
POSTING OF POLL OFFICIALS											
RA (WARD):  (08)											
											
S/N	POLLING UNITS	CODE	NO OF REGD VOTERS								TEL. NO
											
1	LOKO COMPOUND	001	551								
2	POLY ROAD, IJOKODO	002	750								
3	MECHANIC VILLAGE	003	750								
4	AGBAJE ROAD, IJOKODO	004	750								
5	OPPOSITE CHRIST LIFE MINISTRY	005	732								
6	APOSTOLIC CHURCH, SANGO MARKET	006	750								
7	ESTATE JUNCTION, AGBAJE	007	750								
8	BIBI PRESS, IJOKODO	008	750								
9	ALONG POWER LINE	009	596								
10	C.A.C. OKE ITURA	010	730								
11	KALEJAYE	011	626								
12	OPPOSITE FIJABI MOSQUE	012	965								
13	OKORO JUNCTION	013	810								9063873160
14	BEHIND MECHANIC GARAGE OKORO	014	589								
15	GBAREMU	015	750								
16	BISKAT CHEMIST IJOKODO	016	668								
17	IDI‐ITO JUNCTION	017	924								
18	ST. JAMES AFRICAN CHURCH, ISOPAKO	018	693								
19	TAIWO STREET, SANGO ALAROMETA	019	750								
20	CASSAVA PROCESSING CENTRE	020	750								
21	TRANSFORMER SANGO	021	750								
22	DUROTOLU MATERNITY	022	750								
23	BIBI PRESS, AGBAJE ROAD	023	750								
24	ODO BALE IDI TRANSFORMER	024	750								
25	BEMBO HOTEL JUNCTION	025	992								
26	OPPOSITE POLY 2ND GATE	026	939								
27	CHILDREN WELFARE CENTRE	027	750								
28	AGBAJE JUNCTION	028	750								
29	SANGO ALARO	029	788								
30	COTTAGE CLINIC, SANGO	030	750								
31	IN FRONT OF GATEWAY BAPTIST, SANGO	031	824								
32	ODO BAALE	032	747								
33	ALARO	033	997								
34	ADAMASINGBA AREA, OKORO	034	820								
35	IN FRONT OF TAFO HALL	035	617								
36	BESIDE TAFO HALL	036	68								
37	AT THE BACK OF SUGAR HOTEL	037	197								
38	KEYATTO PHARMACY & STORE	038	623								
39	KIA KIA PASSPORT	039	30								
40	OPPOSITE POLY IBADAN FIRST BANK	040	88								
41	APOSTOLIC CHURCH SANGO MARKET II	041	360								
42	SPACE BESIDE THE MAST AGBAJE JUNCTION	042	381								
43	BESIDE GRACE GAS, AGBAJE ROAD	043	261								
44	BESIDE SEDEPO SCHOOL	044	20								
45	ADJACENT BAALE FIJABI HOUSE	045	61								
46	SPACE OPPOSITE JOSABIG HIGH SCHOOL	046	64								
47	ADJACENT FOUNTAIN OF MERCY CHURCH	047	381								
48	NO 39, ALHAJI TIRIMISIYU STREET IDI ITO JUNCTION	048	81								
49	TAIWO STREET JUNCTION	049	207								
